note,duration,octave,part,measure,chord,lyrics,track,pitch,tags
d,1,4,D,63,,ha,Melody,,
d,2,4,D,63,,vaa,Melody,,
d,1,4,D,63,,ta,Melody,,
e_,2,4,D,63,,mi,Melody,,
d,4,4,D,64,,ze,Melody,,
c,1,4,D,64,,in,Melody,,
d,1,4,D,64,,jaa,Melody,,
c,2,4,D,64,,ke,Melody,,
r,2,,D,65,F,,Melody,,
c,1,4,D,65,,di,Melody,,
c,2,4,D,65,,ge,Melody,,
c,1,4,D,65,,gha,Melody,,
d,2,4,D,65,,fas,Melody,,
c,4,4,D,66,F,nist,Melody,,
d,1,4,D,66,,pas,Melody,,
e_,1,4,D,66,,che,Melody,,
d,2,4,D,66,,raa,Melody,,
r,2,,D,67,Gm,,Melody,,
d,1,4,D,67,,gaa,Melody,,
f,2,4,D,67,,hi,Melody,,
f,1,4,D,67,,too,Melody,,
e_,2,4,D,67,,si,Melody,,
d,4,4,D,68,Gm,ne,Melody,,
c,1,4,D,68,,ta,Melody,,
d,1,4,D,68,,pe,Melody,,
c,2,4,D,68,,she,Melody,,
r,2,,D,69,F,,Melody,,
c,2,4,D,69,,nab,Melody,,
c,1,4,D,69,,ze,Melody,,
c,1,4,D,69,,na,Melody,,
d,2,4,D,69,,fas,Melody,,
c,4,4,D,70,F,nist,Melody,,
e_,1,4,D,70,,ha,Melody,,
f,1,4,D,70,,me,Melody,,
e_,2,4,D,70,,chi,Melody,,
r,2,,D,71,Cm,,Melody,,
e_,1,4,D,71,,zi,Melody,,
e_,2,4,D,71,,re,Melody,,
f,1,4,D,71,,sa,Melody,,
d,2,4,D,71,,re,Melody,,
e_,4,4,D,72,Cm,in,Melody,,
e_,1,4,D,72,,ha,Melody,,
f,1,4,D,72,,vaa,Melody,,
g,2,4,D,72,,saa,Melody,,
g,3,4,D,73,Gm,ye,Melody,,
g,2,4,D,73,,par,Melody,,
f,1,4,D,73,,te,Melody,,
e_,2,4,D,73,,moo,Melody,,
d,4,4,D,74,Gm,ne,Melody,,
